【0030】Completed. 成功backup683頁，有6頁遺失.,Backed up,Lost,
"[2306] 網站downjor但係仍然有方法backup,睇下面step 1",684,7,691
"STEP 1 [UPDATED 2306]: 用 ARCHIVE.ORG BACKUP
(用其他網站例如 archive.is, archive.today 也可，但最好 archive.org)

1. 先上 Google 搜尋 URL 
2. 之後按“頁庫” （按一下睇screen cap)
3. copy link 落去 archive.org，按 save 
(URL will start with ""https://webcache.googleusercontent.com"")
4. copy archive.org link 去 COLUMN C
","Step2: 如果已經 backup , mark Yes)。失敗就No",Step3: 如已經upload上網，可以貼埋link到呢到   <<<要hyper link定點? (Archive results link),98.99%
,,,
URL,HAS BACKUP?,,
https://www.thestandnews.com/politics/%E6%88%90%E5%A0%B1%E9%A0%AD%E7%89%88%E5%88%8A%E6%9C%80%E5%BE%8C%E9%80%9A%E7%89%92-%E5%BB%A3%E5%91%8A-%E7%88%BA%E7%88%BA-%E6%96%A5-%E5%B0%8F%E6%98%8E-%E5%A4%A5-%E7%8B%BC%E8%8B%B1-%E6%92%88%E7%A7%81%E5%88%A9-%E4%BF%83%E5%9B%9E%E4%BA%AC%E4%BA%A4%E4%BB%A3,yes,/web/20211229101954/https://www.thestandnews.com/politics/%E6%88%90%E5%A0%B1%E9%A0%AD%E7%89%88%E5%88%8A%E6%9C%80%E5%BE%8C%E9%80%9A%E7%89%92-%E5%BB%A3%E5%91%8A-%E7%88%BA%E7%88%BA-%E6%96%A5-%E5%B0%8F%E6%98%8E-%E5%A4%A5-%E7%8B%BC%E8%8B%B1-%E6%92%88%E7%A7%81%E5%88%A9-%E4%BF%83%E5%9B%9E%E4%BA%AC%E4%BA%A4%E4%BB%A3,
https://www.thestandnews.com/international/%E5%AE%98%E5%93%A1%E7%A8%B1%E5%81%9A%E6%84%9B%E5%8F%AA%E9%9C%80%E7%B4%B0%E7%A9%BA%E9%96%93-%E4%B9%9D%E6%88%90%E6%96%B0%E5%8A%A0%E5%9D%A1%E7%B6%B2%E6%B0%91%E7%9B%BC-%E5%85%88%E6%9C%89%E6%A8%93%E5%BE%8C%E7%94%9F%E4%BB%94,yes,/web/20211229101807/https://www.thestandnews.com/international/%E5%AE%98%E5%93%A1%E7%A8%B1%E5%81%9A%E6%84%9B%E5%8F%AA%E9%9C%80%E7%B4%B0%E7%A9%BA%E9%96%93-%E4%B9%9D%E6%88%90%E6%96%B0%E5%8A%A0%E5%9D%A1%E7%B6%B2%E6%B0%91%E7%9B%BC-%E5%85%88%E6%9C%89%E6%A8%93%E5%BE%8C%E7%94%9F%E4%BB%94,
https://www.thestandnews.com/politics/%E7%B1%B2%E5%B9%B4%E8%BC%95%E4%BA%BA%E5%AD%B8%E5%AD%AB%E4%B8%AD%E5%B1%B1-%E6%84%9B%E5%9C%8B%E6%83%85%E6%93%8D-%E6%A2%81%E6%8C%AF%E8%8B%B1-%E9%A6%99%E6%B8%AF%E5%B7%B2%E6%93%BA%E8%84%AB%E5%A4%96%E5%9C%8B%E7%B5%B1%E6%B2%BB-%E6%88%90%E5%8A%9F%E5%9B%9E%E6%AD%B8%E7%A5%96%E5%9C%8B%E6%87%B7%E6%8A%B1,yes,https://archive.ph/u7BWv,
https://www.thestandnews.com/international/%E5%BE%B7%E5%9C%8B%E6%83%85%E5%A0%B1%E6%A9%9F%E6%A7%8B%E6%8C%87%E6%8E%A7%E4%BF%84%E7%BE%85%E6%96%AF%E6%93%8D%E6%8E%A7%E5%A4%A7%E9%81%B8-%E6%94%BF%E5%BA%9C%E8%AA%BF%E6%9F%A5%E5%81%87%E6%96%B0%E8%81%9E%E5%95%8F%E9%A1%8C,yes,/web/20211229101749/https://www.thestandnews.com/international/%E5%BE%B7%E5%9C%8B%E6%83%85%E5%A0%B1%E6%A9%9F%E6%A7%8B%E6%8C%87%E6%8E%A7%E4%BF%84%E7%BE%85%E6%96%AF%E6%93%8D%E6%8E%A7%E5%A4%A7%E9%81%B8-%E6%94%BF%E5%BA%9C%E8%AA%BF%E6%9F%A5%E5%81%87%E6%96%B0%E8%81%9E%E5%95%8F%E9%A1%8C,
https://www.thestandnews.com/china/%E7%92%B0%E7%90%83%E7%B6%B2%E7%AD%898%E7%B6%B2%E7%AB%99%E5%AD%98%E5%9C%A8%E9%81%95%E8%A6%8F-%E9%81%AD%E8%B2%AC%E4%BB%A4%E9%99%90%E6%9C%9F%E6%95%B4%E6%94%B9,yes,https://archive.is/gdCIr,
https://www.thestandnews.com/art/%E5%8D%81%E5%B9%B4%E4%B8%80%E5%BA%A6%E6%98%8E%E6%96%AF%E7%89%B9%E9%9B%95%E5%A1%91%E5%B1%95%E5%85%AD%E6%9C%88%E9%96%8B%E5%B9%95-%E9%A6%96%E5%BA%A6%E5%BB%B6%E4%BC%B8%E8%87%B3%E9%84%B0%E8%BF%91%E5%9F%8E%E5%B8%82%E8%88%89%E8%A1%8C,yes,https://archive.ph/ZmNgC,
https://www.thestandnews.com/nature/%E7%94%9F%E6%85%8B%E7%81%BD%E9%9B%A3-%E6%B5%81%E6%B5%AA%E8%B2%93%E4%BD%94-99-8-%E6%BE%B3%E6%B4%B2%E5%9C%9F%E5%9C%B0,yes,https://archive.ph/NTv8Z,
https://www.thestandnews.com/politics/%E5%90%84%E6%8E%A8%E6%96%B0%E5%AE%A3%E5%82%B3%E7%89%87-%E6%9E%97%E9%84%AD%E7%8D%B2%E8%91%89%E9%BA%97%E5%84%80%E6%B8%85%E5%94%B1%E6%92%90%E5%A0%B4-%E6%9B%BE%E4%BF%8A%E8%8F%AF-%E7%9B%B8%E4%BF%A1%E4%B8%80%E5%80%8B%E4%BA%BA-%E4%B8%8D%E5%A6%82%E7%9B%B8%E4%BF%A1%E6%AF%8F%E4%B8%80%E5%80%8B%E4%BA%BA,yes,https://archive.is/E61bs,
https://www.thestandnews.com/%E5%8F%B0%E7%81%A3/%E5%A4%96%E9%9B%BB-%E9%87%9D%E5%B0%8D%E8%94%A1%E8%8B%B1%E6%96%87%E9%99%90%E9%81%8A%E5%8F%B0%E4%BA%BA%E6%95%B8-%E5%8C%97%E4%BA%AC%E5%88%B6%E8%A3%81%E5%A4%B1%E6%95%97-%E5%8F%B0%E9%81%8A%E5%AE%A2%E6%95%B8%E5%8E%BB%E5%B9%B4%E5%8F%8D%E5%8D%87-%E6%88%90%E5%8A%9F%E6%B8%9B%E5%B0%91%E4%BE%9D%E8%B3%B4%E9%99%B8%E5%AE%A2,yes,https://archive.ph/cHutI,
https://www.thestandnews.com/international/%E9%9F%93%E5%9C%8B%E7%A0%94%E7%A9%B6%E5%A0%B1%E5%91%8A-%E6%8C%87%E9%9F%93%E6%BC%81%E6%A5%AD%E7%94%A2%E9%87%8F-%E5%9B%A0%E4%B8%AD%E5%9C%8B%E9%9D%9E%E6%B3%95%E6%8D%95%E6%92%88-%E6%B8%9B%E8%87%B344%E5%B9%B4%E4%BE%86%E6%9C%80%E4%BD%8E,yes,http://archive.today/0zHx2,
